State,Year,CoCs,Population,CoCs_per_hundredthousands
ND,2016,1,754434,0.1325496995098312
NE,2016,3,1905616,0.15742940865315994
NH,2016,3,1342307,0.2234958172757797
NJ,2016,15,8870827,0.1690935918376043
NM,2016,2,2091630,0.09561920607373196
NV,2016,3,2917563,0.10282554309881226
NY,2016,26,19633428,0.13242720527459595
OH,2016,9,11634370,0.07735700343035334
OK,2016,8,3926331,0.20375256187010213
OR,2016,7,4089976,0.17115014855832894
PA,2016,16,12782275,0.12517333573248893
RI,2016,1,1056770,0.09462797013541263
SC,2016,4,4957968,0.08067821333255883
SD,2016,1,862996,0.11587539223820273
TN,2016,10,6646010,0.15046621958137288
TX,2016,11,27914410,0.03940617050476797
UT,2016,3,3041868,0.09862360891399627
VA,2016,16,8410106,0.1902473048496654
VT,2016,2,623657,0.32068909673105567
WA,2016,7,7294771,0.09595914662708398
WI,2016,4,5772628,0.06929253019595234
WV,2016,4,1831023,0.21845711386476302
WY,2016,1,584215,0.17116986041097884
AK,2017,2,739700,0.27037988373665
AL,2017,8,4874486,0.1641198682281578
AR,2017,6,3001345,0.1999103735158737
AZ,2017,3,7044008,0.042589389449870015
CA,2017,43,39358497,0.10925213937920444
CO,2017,3,5611885,0.05345797356859593
CT,2017,2,3573297,0.05597071835898331
DC,2017,1,694906,0.1439043554092208
DE,2017,1,956823,0.10451253784660276
FL,2017,27,20963613,0.12879459280229988
GA,2017,9,10410330,0.08645259084005982
HI,2017,2,1424393,0.14041068721904698
IA,2017,3,3141550,0.09549426238640162
ID,2017,2,1717715,0.1164337506513013
IL,2017,20,12778828,0.15650887546181858
IN,2017,2,6658078,0.030038698855735846
KS,2017,5,2908718,0.17189703505118062
KY,2017,3,4452268,0.06738138854174995
LA,2017,8,4670560,0.17128567024082766
MA,2017,15,6859789,0.21866561784917873
MD,2017,16,6023868,0.2656100698089666
ME,2017,1,1334612,0.07492814390999032
MI,2017,21,9973114,0.21056612809198813
MN,2017,10,5566230,0.17965481124567256
MO,2017,8,6106670,0.13100429530333227
MS,2017,3,2988510,0.10038447252978909
MT,2017,1,1052482,0.09501350141855158
NC,2017,12,10268233,0.11686528733814279
ND,2017,1,754942,0.1324605068998678
NE,2017,3,1915947,0.1565805317161696
NH,2017,3,1348787,0.22242207257335667
NJ,2017,16,8885525,0.18006814453844877
NM,2017,2,2091784,0.09561216645695732
NV,2017,3,2969905,0.10101333207627854
NY,2017,26,19589572,0.13272367563722168
OH,2017,9,11659650,0.07718928098184766
OK,2017,8,3931316,0.20349419888912518
OR,2017,7,4143625,0.16893420616006516
PA,2017,16,12787641,0.12512081000709982
RI,2017,1,1055673,0.0947263025577049
SC,2017,4,5021268,0.07966115331824551
SD,2017,1,872868,0.1145648597496987
TN,2017,10,6708799,0.14905797595068804
TX,2017,11,28295273,0.03887575143735139
UT,2017,3,3101042,0.09674167586250042
VA,2017,16,8463587,0.1890451412622095
VT,2017,2,624344,0.32033622490165675
WA,2017,7,7423362,0.09429689674301213
WI,2017,4,5790186,0.06908240944246005
WV,2017,4,1817004,0.22014260838170968
WY,2017,1,578931,0.17273215633642006
AK,2018,2,735139,0.2720573932276753
AL,2018,8,4887681,0.16367680296647838
AR,2018,7,3009733,0.23257877027630025
AZ,2018,3,7158024,0.041911007842387785
CA,2018,43,39461588,0.10896672480590493
CO,2018,3,5691287,0.05271215456187678
CT,2018,2,3571520,0.05599856643669922
DC,2018,1,701547,0.1425421247614201
DE,2018,1,965479,0.10357553090227752
FL,2018,27,21244317,0.12709281263313854
GA,2018,9,10511131,0.08562351663203513
HI,2018,2,1420593,0.14078627727998097
IA,2018,3,3148618,0.09527989740260648
ID,2018,2,1750536,0.11425072092204902
IL,2018,20,12723071,0.15719475274483652
IN,2018,2,6695497,0.029870822136131195
KS,2018,5,2911359,0.1717411009772412
KY,2018,3,4461153,0.06724718923560792
LA,2018,7,4659690,0.15022458575570477
MA,2018,15,6882635,0.2179397861429525
MD,2018,16,6035802,0.2650849050383031
ME,2018,1,1339057,0.07467941992013782
MI,2018,21,9984072,0.21033502162244022
MN,2018,10,5606249,0.1783723841020975
MO,2018,8,6121623,0.1306842972852134
MS,2018,3,2981020,0.1006366948225775
MT,2018,1,1060665,0.09428047498503297
NC,2018,12,10381615,0.11558895220059692
ND,2018,1,758080,0.13191219924018574
NE,2018,3,1925614,0.1557944634802198
NH,2018,3,1353465,0.2216533120546154
NJ,2018,16,8886025,0.1800580124408833
NM,2018,2,2092741,0.09556844349109613
NV,2018,3,3027341,0.09909686421186117
NY,2018,26,19530351,0.13312612763590373
OH,2018,9,11676341,0.07707894108265595
OK,2018,8,3940235,0.20303357540857334
OR,2018,7,4181886,0.16738858974156637
PA,2018,16,12800922,0.12499099674226591
RI,2018,1,1058287,0.09449232580575968
SC,2018,4,5084156,0.0786757920095292
SD,2018,1,878698,0.11380474292646621
TN,2018,10,6771631,0.1476749102247302
TX,2018,11,28628666,0.038423026766248904
UT,2018,3,3153550,0.09513088424156903
VA,2018,16,8501286,0.18820681953295065
VT,2018,2,624358,0.3203290419919341
WA,2018,6,7523869,0.07974620504423988
WI,2018,4,5807406,0.06887756771267585
WV,2018,4,1804291,0.22169372900491108
WY,2018,1,577601,0.17312989416569569
AK,2019,2,731545,0.2733939812315032
AL,2019,8,4903185,0.16315925260825362
AR,2019,5,3017804,0.16568339096906226
AZ,2019,3,7278717,0.04121605497232548
CA,2019,44,39512223,0.11135794612214048
CO,2019,3,5758736,0.05209476524014992
CT,2019,2,3565287,0.05609646572632161
DC,2019,1,705749,0.14169343491807995
DE,2019,1,973764,0.10269428732218484
FL,2019,27,21477737,0.1257115682159624
GA,2019,9,10617423,0.08476633171721612
HI,2019,2,1415872,0.1412557067305519
IA,2019,3,3155070,0.0950850535804277
ID,2019,2,1787065,0.1119153472313542
IL,2019,19,12671821,0.14993898666971384
IN,2019,2,6732219,0.02970788680522722
KS,2019,5,2913314,0.17162585289467597
KY,2019,3,4467673,0.06714905052361711
LA,2019,7,4648794,0.1505766872010246
MA,2019,15,6892503,0.2176277616418883
MD,2019,16,6045680,0.2646517844146564
ME,2019,1,1344212,0.07439302729033813
MI,2019,21,9986857,0.21027636622813364
MN,2019,10,5639632,0.17731653412846796
