governor,state,time_in_office,party,year
Anibal Acevedo Vilá,Puerto Rico,2005 - 2009,Popular Democratic Party,2006
Brian Schweitzer,Montana,2005 - 2013,Democrat,2006
M. Jodi Rell,Connecticut,2004 - 2011,Republican,2006
Kathleen Babineaux Blanco,Louisiana,2004 - 2008,Democrat,2006
Haley Barbour,Mississippi,2004 - 2012,Republican,2006
Ernie Fletcher,Kentucky,2003 - 2007,Republican,2006
Arnold Schwarzenegger,California,2003 - 2011,Republican,2006
Togiola T. A. Tulafono,American Samoa,2003 - 2013,Democrat,2006
Edward G. Rendell,Pennsylvania,2003 - 2011,Democrat,2006
Bob Riley,Alabama,2003 - 2011,Republican,2006
Phil Bredesen,Tennessee,2003 - 2011,Democrat,2006
Mark Sanford,South Carolina,2003 - 2011,Republican,2006
Robert L. Ehrlich,Maryland,2003 - 2007,Republican,2006
Sonny Perdue,Georgia,2003 - 2011,Republican,2006
Rod R. Blagojevich,Illinois,2003 - 2009,Democrat,2006
Brad Henry,Oklahoma,2003 - 2011,Democrat,2006
Ted Kulongoski,Oregon,2003 - 2011,Democrat,2006
Kathleen Sebelius,Kansas,2003 - 2009,Democrat,2006
Jim Douglas,Vermont,2003 - 2011,Republican,2006
John E. Baldacci,Maine,2003 - 2011,Democrat,2006
Mike Rounds,South Dakota,2003 - 2011,Republican,2006
Don Carcieri,Rhode Island,2003 - 2011,Republican,2006
Janet Napolitano,Arizona,2003 - 2009,Democrat,2006
Dave Freudenthal,Wyoming,2003 - 2011,Democrat,2006
Jim Doyle,Wisconsin,2003 - 2011,Democrat,2006
Tim Pawlenty,Minnesota,2003 - 2011,Republican,2006
Felix P. Camacho,Guam,2003 - 2011,Republican,2006
Bill Richardson,New Mexico,2003 - 2011,Democrat,2006
Jennifer M. Granholm,Michigan,2003 - 2011,Democrat,2006
Mitt Romney,Massachusetts,2003 - 2007,Republican,2006
Linda Lingle,Hawaii,2002 - 2010,Republican,2006
Frank H. Murkowski,Alaska,2002 - 2006,Republican,2006
Juan N. Babauta,Northern Mariana Islands,2002 - 2006,Republican,2006
Mark R. Warner,Virginia,2002 - 2006,Democrat,2006
Ruth Ann Minner,Delaware,2001 - 2009,Democrat,2006
Michael F. Easley,North Carolina,2001 - 2009,Democrat,2006
Rick Perry,Texas,2000 - 2015,Republican,2006
John Hoeven,North Dakota,2000 - 2010,Republican,2006
Thomas J. Vilsack,Iowa,1999 - 2007,Democrat,2006
